role,years_experience,programming_language,count
Data Analytics/Business Intelligence,0 to 2 years,dax,1
Data Analytics/Business Intelligence,0 to 2 years,python,4
Data Analytics/Business Intelligence,0 to 2 years,sql,4
Data Analytics/Business Intelligence,2 to 5 years,sql,2
Data Analytics/Business Intelligence,5+ years,c++,1
Data Analytics/Business Intelligence,5+ years,python,3
Data Analytics/Business Intelligence,5+ years,r,2
Data Analytics/Business Intelligence,5+ years,sql,2
Data Analytics/Business Intelligence,5+ years,vba,1
Data Engineering,0 to 2 years,python,1
Data Engineering,0 to 2 years,sql,1
Data Engineering,2 to 5 years,python,1
Data Engineering,2 to 5 years,sql,1
Data Engineering,5+ years,r,1
Data Engineering,5+ years,sql,1
Data Science,0 to 2 years,python,2
Data Science,0 to 2 years,r,1
Data Science,0 to 2 years,sas,1
Data Science,0 to 2 years,sql,3
Data Science,0 to 2 years,stata,1
Data Science,2 to 5 years,python,1
Data Science,2 to 5 years,r,1
Data Science,2 to 5 years,scala,1
Data Science,2 to 5 years,sql,1
Data Science,5+ years,python,6
Data Science,5+ years,r,2
Data Science,5+ years,sql,4
Data Science,5+ years,stata,1
Machine Learning Engineering,2 to 5 years,python,2
Machine Learning Engineering,2 to 5 years,sql,1
Machine Learning Engineering,5+ years,python,1
Machine Learning Engineering,5+ years,r,2
Machine Learning Engineering,5+ years,sql,2
Other,0 to 2 years,python,2
Other,0 to 2 years,r,1
Other,0 to 2 years,sas,1
Other,0 to 2 years,solr,1
Other,0 to 2 years,spss,1
Other,0 to 2 years,sql,2
Other,5+ years,javascript,1
Other,5+ years,python,2
Other,5+ years,sql,2
